epoch,step,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse
0,0,0.0,564.4653930664062,0.0,564.96533203125,0.0,648.2249755859375
0,88,332.5434875488281,306.4565124511719,333.0434875488281,306.9558410644531,0.0,376.7808532714844
1,176,315.7466735839844,287.56024169921875,316.2466735839844,288.0588073730469,396.9609680175781,352.9759521484375
2,264,255.6512908935547,269.0574645996094,256.1512756347656,269.5567626953125,368.15899658203125,335.67529296875
3,352,245.10040283203125,249.9597625732422,245.60040283203125,250.4593505859375,342.8417053222656,308.6044921875
4,440,240.0537567138672,240.71202087402344,240.5537567138672,241.211181640625,323.71588134765625,295.9555969238281
5,528,244.21466064453125,226.06869506835938,244.71466064453125,226.56787109375,306.1979675292969,278.4313659667969
6,616,194.85008239746094,216.01268005371094,195.35008239746094,216.5118408203125,289.87744140625,266.9397888183594
7,704,182.9402313232422,204.7338409423828,183.4336395263672,205.23272705078125,274.4784851074219,253.57875061035156
8,792,207.71926879882812,197.36383056640625,208.21522521972656,197.86253356933594,261.3015441894531,246.8129425048828
9,880,202.83555603027344,191.83267211914062,203.33555603027344,192.3326416015625,252.6791534423828,240.04420471191406
10,968,197.0467071533203,189.10191345214844,197.5467071533203,189.60133361816406,244.7981414794922,237.41993713378906
11,1056,191.0967254638672,180.8207244873047,191.5967254638672,181.32064819335938,234.0450439453125,228.7986602783203
12,1144,170.66152954101562,176.05970764160156,171.16152954101562,176.55935668945312,230.41929626464844,224.96148681640625
13,1232,161.04942321777344,178.7069549560547,161.54942321777344,179.20654296875,225.70346069335938,225.29754638671875
14,1320,198.9058380126953,175.21102905273438,199.4058380126953,175.71099853515625,222.09295654296875,222.5880889892578
15,1408,152.37339782714844,174.32614135742188,152.8686065673828,174.82521057128906,218.2366943359375,222.3367156982422
16,1496,192.51234436035156,181.7223358154297,193.01234436035156,182.2220001220703,214.28225708007812,228.11354064941406
17,1584,182.0618133544922,170.14263916015625,182.5618133544922,170.64170837402344,212.56089782714844,216.70947265625
18,1672,169.6585235595703,166.36282348632812,170.1585235595703,166.86256408691406,210.86288452148438,211.82676696777344
19,1760,156.6959686279297,160.48739624023438,157.1959686279297,160.98683166503906,208.39662170410156,205.13760375976562
20,1848,153.2894744873047,161.05926513671875,153.78944396972656,161.55845642089844,205.9261932373047,205.90159606933594
21,1936,166.0631866455078,160.0606231689453,166.5631866455078,160.5601806640625,204.55517578125,206.97300720214844
22,2024,140.2069091796875,158.82569885253906,140.7069091796875,159.32469177246094,204.50595092773438,204.25999450683594
23,2112,132.77587890625,158.0254669189453,133.27587890625,158.525390625,201.15353393554688,201.37892150878906
24,2200,165.6245574951172,157.15444946289062,166.1245574951172,157.6539306640625,199.98590087890625,202.3068389892578
